Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
34866,"To summarize the Day 8 of Mission LiFE mass mobilization effort at NZP, in partnership with NMNH, 202 students took part in identifying plants. This was followed by viewing videos on sustainability and making a commitment towards leading a sustainable lifestyle.",Delhi (DL),South Delhi,Action & Awareness,12-05-2023,202,Activity and Demonstration,Lecture Cum Demonstration,National ZP
34907,"Day 8 of Mass mobilisation of Mission LiFE at NZP in collaboration with NMNH, forest trainees and school students joined and introduced about the LiFE movement & working of Zoo. Students were engaged in bird count activity to mark the World Migratory Bird Day.",Delhi (DL),South Delhi,Action & Awareness,13-05-2023,245,Activity and Demonstration,Lecture Cum Demonstration,National ZP
40489,"Day 10 of the Mass awareness campaign for Mission LiFE at NZP, where 192 students participated in LiFE movement and capture the beautiful scenery of NZP, followed by a pledge to adopt sustainable lifestyle.",Delhi (DL),South Delhi,Action & Awareness,14-05-2023,192,Activity and Demonstration,,National ZP
40974,Students from Banaras Hindu University visited Nainital zoo & were thoroughly briefed on the concepts of Mission life via implementing sustainable living in there day to day life.,Uttarakhand (UK),Nainital,Awareness,14-05-2023,30,Mission Life,,Pt. Gobind Pant HAZ
49812,"?????? ??????, ??????? ????? ??? ????? ?? ????????? ???? ???? ?? ???????? ?????? ?????? ??? ????? ???? ??? ???????? ?? ???? ???????? ?????? ????? ????",Uttarakhand (UK),Nainital,Awareness,15-05-2023,30,Awareness,,Pt. Gobind Pant HAZ
55534,A group from Mumbai(Maharashtra) visited Nainital Zoo and were educated about Mission Life Initiative which aims to promote awareness among people of all age group and how one can contribute to sustainable lifestyle & also inspire other to be more environmentally conscious in their daily life.,Uttarakhand (UK),Nainital,Awareness,15-05-2023,18,Awareness Campaign,,Pt. Gobind Pant HAZ
50983,DISPLAYED MISSION LIFE MATERIALS FOR VISITORS AWARENEESS,Gujarat (GJ),Surat,Awareness,10-05-2023,15,DISPLAYED BANNERS,,Shyamaprasad Mukherjee ZG
51234,"ALL ZOO STAFF MEMBERS, PLEDGED TO MAKE CHANGES IN THER LIFE TO PROTECT WILD LIFE AS WELL AS ENVIRONMENT AND EXPLAINED ABOUT MISSION LIFE EVENT TO THEM .",Gujarat (GJ),Surat,Awareness,13-05-2023,30,PLEDGE,,Shyamaprasad Mukherjee ZG
51289,DISTRIBUTING BIRD NEST AMONG CHILDREN VISITED TO ZOO,Gujarat (GJ),Surat,Action & Awareness,15-05-2023,100,,,Shyamaprasad Mukherjee ZG
51424,"AWARENESS CAMPAING ON HOW TO SAVE ENVIRONMENT ,ENERGY DONE WITH VISITORS OF ZOO",Gujarat (GJ),Surat,Awareness,15-05-2023,70,,,Shyamaprasad Mukherjee ZG
57399,A guided zoo and botanical trail was conducted for the visitors. They were enlightened on the goals of this mission following which the visitors pledged their support and participation towards mission LiFE.,Maharashtra (MH),Mumbai City,Action & Awareness,15-05-2023,57,Guided Zoo and Botanical Garden Tour,Guided Zoo and Botanical Garden Tour,VJBB Udyan & Zoo
41799,"Awareness session was conducted on Illegal Wildlife Trade and threat to wildlife along the theme of ""Adopt healthy lifestyle"" . Also a signature campaign was initiated for visitors to take a pledge to adopt environmentally friendly habits",Karnataka (KA),Bangalore Rural,Action & Awareness,14-05-2023,700,Awareness and signature campaign,,Bannerghatta BP
57540,88 people have availed free entry to butterfly park as part of the Lifestyle for Environment campaign to promote more people to use public transport,Karnataka (KA),Bangalore Rural,Awareness,15-05-2023,88,,,Bannerghatta BP
32454,Today is Global Bird Day or Endemic Bird Day. We conduct a bird walk inside zoo premises make a checklist and upload in e- bird app.,Odisha (OD),Khordha,Awareness,13-05-2023,10,Bird Walk inside zoo premises,Global Bird Day 2023,Nandankanan ZP
37675,"Conducting a nature trail inside sanctuary area which covers Bird walk, tree walk, butterfly walk etc.",Odisha (OD),Khordha,Awareness,14-05-2023,20,Nature trail at Nandankanan,,Nandankanan ZP
60472,Preparation of naturalistic enrichments for captive animals.,Odisha (OD),Khordha,Awareness,16-05-2023,10,Naturalistic Enrichments,Naturalistic Enrichments for Captive Animals,Nandankanan ZP
62190,"As a part of sustainable Mission Lifestyle, a mass mobilization programme to promote awareness on the environment among children and visitors. Conducted snake snake awareness talk show in collaboration with Friends of Snakes Society, Hyderabad.",Telangana,Hyderabad,Awareness,07-05-2023,620,Awareness talk show,,Nehru ZP
61319,"As a part of the LIFE, 350 Tribal Welfare Department students participated with free zoo entry, in which pledge, PPT, short film on the MISSION LIFE. Students involved in tree hugging, plastic cleaning and we briefed about each animal, conducted talk shows on birds, wetland conservation and snakes.",Telangana,Hyderabad,Awareness,14-05-2023,330,Meri Life Pledge,,Nehru ZP
64808,"Environmental Awareness Lecture is delivered by Mrs. Suvarna Kawale Chute, Biologist and Education Officer to the Students from College of Agriculture, Nagpur. Points explained to them are : * Natural resource Conservation ( water, electricity, petrol) in day to day life.",Maharashtra (MH),Nagpur,Awareness,16-05-2023,60,Environmental awareness program,,Maharajbaug Zoo
69360,"?????? ??????, ??????? ????? ??? ????? ?? ????????? ???? ???? ?? ???????? ?????? ?????? ??? ????? ???? ??? ???????? ?? ???? ????????? ?????? ????? ???? ??? ???? ?????? ???????? ?? ??? ???? ???? ?? ??? ?? ????",Uttarakhand (UK),Nainital,Awareness,16-05-2023,207,Awareness,,Pt. Gobind Pant HAZ
69484,"?????? ??????, ??????? ????? ??? ????? ?? ????????? ???? ???? ?? ???????? ?????? ?????? ??? ????? ???? ??? ???????? ?? ???? ???????? ?????? ????? ????",Uttarakhand (UK),Nainital,Awareness,16-05-2023,21,Awareness,,Pt. Gobind Pant HAZ
71611,"Day 3 Mission LiFE campaign:
A guided zoo and botanical trail was conducted for the visitors.
For visitors we conducted a Paper Bag making workshop followed by mission LiFE pledged.",Maharashtra (MH),Mumbai City,Action & Awareness,16-05-2023,127,Guided Zoo Tour & Paper bag making workshop,Guided Zoo Tour & Paper bag making workshop,VJBB Udyan & Zoo
52701,Healthy lifestyle adopted: Cleaning and Maintenance in Zoo,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,15-05-2023,50,Healthy life style adopted,,Indira Gandhi ZP
53005,Healthy lifestyle adopted: Cleaning and Maintenance in Zoo,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,15-05-2023,60,Healthy lifestyle adopted,,Indira Gandhi ZP
66430,Healthy Life Style,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,110,Millets show,,Indira Gandhi ZP
66481,Reduce Single use plastic,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,90,Reduce Single use plastic,,Indira Gandhi ZP
66567,Rain water harvesting talk - Compost pit,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,85,Rain water harvesting talk,,Indira Gandhi ZP
